name,ind_G1,ind_G2,ind_G3,ind_G4,ind_G5,ind_G6,ind_G7,weighted_mean,iso_a3
Angola,0.23206621704475783,-0.07677776278504933,-0.41114755491599064,-0.40405985664259125,-0.4202643351990436,0.04916512059369149,0.09403905447070915,-0.13385415963335948,AGO
Mali,0.2590435315757206,-0.26109836729186353,-0.5414790849887452,-0.3934209496564216,-0.1861854569504312,-0.03352769679300238,0.2142857142857143,-0.1346260442598613,MLI
Uganda,0.08859595340282023,-0.2103629739576306,-0.6177249187866507,-0.103177569930747,-0.28418422181540404,0.05204815739245394,0.041623843782117254,-0.14759738998757727,UGA
Vietnam,-0.007664009809932482,-0.28646606395898,-0.2633684548920644,0.0027315784290562473,,-0.005950676863931359,-0.3324768756423433,-0.14886575045636588,VNM
China,0.3467198038013489,-0.2397787073269465,-0.1209460246391647,0.05785202101407916,-0.5423701625615512,-0.09279711884753955,-0.45580678314491263,-0.1495895673863838,CHN
Kyrgyzstan,0.14193746167995114,0.060855485089731376,-0.7061281420091439,-0.46337532654079905,-0.05250467365197797,-0.16604823747680814,0.09917780061664949,-0.15515509032748528,KGZ
Gabon,-0.2749846719803801,0.4178923222237214,-0.6206852621609535,-0.3186344611255789,-0.34045171664064533,-0.24882260596546285,0.23586844809866392,-0.1642597067929479,GAB
Pakistan,0.18424279583077885,-0.4303063014437998,-0.5060595753147923,-0.23944566528732936,,-0.16583124477861383,0.16700924974306275,-0.1650651235417823,PAK
Ethiopia,0.08982219497240973,-0.21252192686547033,-0.33550470996419857,-0.216344313880386,-0.643997495020066,0.17737733391228905,-0.08787255909558073,-0.17557735370585753,ETH
Thailand,-0.1186388718577559,-0.39063554176224535,-0.3408189087090199,0.10908685307826893,-0.17701558201621614,-0.24291557113642936,-0.07245632065775953,-0.17619913472302248,THA
Madagascar,0.26885346413243427,-0.22628525165294833,-0.6021583140420104,-0.36658283338555875,-0.41175273002428825,-0.19725638599810774,0.21223021582733814,-0.188993119306163,MDG
Turkey,0.2559779276517473,-0.4983133180407503,-0.3480755878521897,-0.1384493257005669,-0.07543990604323592,-0.21667017322392818,-0.32117163412127436,-0.191734573904314,TUR
Burundi,0.6992642550582464,-0.31345297530697613,-0.8414401771547966,-0.5243055533129937,,0.12385929981748744,-0.30472764645426514,-0.1934671328922163,BDI
Egypt,0.3191293684855916,-0.5128862501686683,-0.44724909240947897,-0.04689085028108719,-0.28071715758552773,-0.049708208156359124,-0.35714285714285715,-0.19649500675119813,EGY
Sri Lanka,,-0.10430441236000543,-0.30845689302288415,0.050558499582986194,-0.5762741078173077,-0.41292517006802726,0.1721479958890032,-0.19654234796603917,LKA
Uzbekistan,-0.2927651747394236,-0.013358521117258215,-0.48426351814885704,-0.325007617612183,-0.15048730441595304,0.044217687074829426,-0.28314491264131547,-0.21497276594288015,UZB
Russia,0.7936848559166159,-0.321549048711375,-0.5884147144562772,-0.48574660588376994,-0.3307971504474524,-0.23514739229024978,-0.3499486125385406,-0.2168455240587213,RUS
Papua New Guinea,-0.28111587982832614,-0.1828363243826745,-0.45543768121962613,-0.21289481534264998,-0.3174889166590923,-0.47160603371783494,0.342754367934224,-0.22551789760228289,PNG
Cambodia,0.5275904353157572,-0.5752260153825395,-0.7115149972638006,-0.33088596276607185,-0.05976273933886589,-0.1604081632653061,-0.29342240493319627,-0.22908997823343188,KHM
Guinea-Bissau,0.6870018393623544,-0.4205910133585211,-0.6851654442336039,-0.6077301655448711,-0.4563637159330687,-0.2759103641456587,0.11870503597122306,-0.2342934039831637,GNB
Kazakhstan,-0.555793991416309,-0.23708001619214691,-0.2154729364928355,-0.14611787640937768,-0.45722340878630097,-0.053330766268772256,-0.08170606372045225,-0.24953215132659926,KAZ
Azerbaijan,0.08307786633966896,-0.39414384023748483,-0.6171501611446084,-0.21690430069140765,-0.2288868372727514,-0.20068027210884404,-0.3540596094552929,-0.2755353077958172,AZE
Central African Rep.,0.4858982219497241,-0.45837268924571584,-0.7136603448271508,-0.7240675799788875,-0.5285141677870653,-0.29008746355685056,0.22970195272353544,-0.28558601010320145,CAF
Mauritania,-0.7489270386266095,-0.3185804884630955,-0.5036230698401357,-0.23292112534378928,,-0.1692010137388294,0.1896197327852005,-0.29727216720454314,MRT
Belarus,-0.1873083997547516,-0.4664687626501147,-0.4006907841116858,-0.4981193322290637,-0.26314789424238105,0.15306122448979598,-0.45991778006166495,-0.3032273897942665,BLR
Djibouti,-0.6109748620478235,-0.04439346916745379,-0.5010111865831208,-0.44181513229709235,,-0.07299843014128649,-0.1536485097636177,-0.3041402650000658,DJI
Lebanon,0.24187614960147152,-0.39711240048576446,-0.6576915138680162,-0.4420966139836683,-0.6733857466944961,-0.3979591836734694,0.1968139773895169,-0.304222190244918,LBN
Algeria,-0.3320049049662784,-0.40170017541492387,-0.4280495502000776,-0.3148152230260779,,-0.3676227247655819,-0.013874614594039103,-0.30967786549449644,DZA
Guatemala,-0.3295524218270999,-0.2937525300229389,-0.696604946470866,-0.4536372508101497,-0.33278591848639394,-0.18367346938775508,0.10020554984583763,-0.312828712451338,GTM
Nicaragua,-0.371244635193133,-0.686681959249764,-0.7330311218162333,-0.539730154424884,0.13838675692838054,0.3432383942588033,-0.40750256937307294,-0.3223664698385576,NIC
Zimbabwe,0.042611894543225004,-0.4378626366212388,-0.7179214230833485,-0.505057586227706,-0.5854819684528016,-0.0009626492106268869,-0.06628982528263105,-0.32442345633358965,ZWE
Iran,-0.4858982219497241,-0.11347996221832413,-0.6574462928985898,-0.4017831797450686,,-0.408662765805623,-0.22764645426515928,-0.3824861461470815,IRN
Sudan,-0.06407112201103615,-0.35852111725812985,-0.7849500556827981,-0.5183625381347422,-0.5753983847174411,,-0.01798561151079142,-0.3865481382191564,SDN
North Korea,0.529429797670141,-0.5493185804884633,-0.8827491610909479,-0.7051895490207883,,-0.21244392953687996,-0.5,-0.3867119037444897,PRK
Bangladesh,-0.5600858369098712,-0.5317770881122657,-0.6335667532768848,-0.2059243246145428,-0.560914497528209,-0.15947521865889142,-0.08992805755395689,-0.39166739666494593,BGD
eSwatini,-0.5324954015941139,-0.5271893131831062,-0.44258642282595184,-0.20637841882380137,,-0.2793712079426367,-0.3961973278520041,-0.3973696820369357,SWZ
